Име,Локација,Град,Работно време,Дејност
Дудин,Адреса: Ацо Аџи Илов б.б.,Неготино,Работно време: Пон - Пет од 07:00 до 15:00,"['вина - производство', 'винарски визби']"
Ерос трејд,Адреса: с.Марена,Кавадарци,N/A,"['вина - производство', 'винарски визби']"
Зик Градиште,Адреса: с.Градиште,Куманово,N/A,"['винарски визби', 'житни култури - одгледувачи', 'житни култури - трговија']"
Иванов Винарија,Адреса: Игман 11,Кавадарци,N/A,"['вина - трговија', 'винарски визби']"
Изворно,Адреса: Никола Оровчанец 1,Велес,N/A,"['винотеки (винарници)', 'винарски визби']"
Имако Вино,Адреса: Железничка б.б.,Битола,N/A,['винарски визби']
Јостела,Адреса: Моински пат 154,Гевгелија,N/A,"['вина - производство', 'вина - трговија', 'винарски визби']"
Картал,Адреса: ул.1519 7,Скопје,Работно време: Пон - Пет од 09:00 до 17:00,"['вина - производство', 'вина - трговија', 'винотеки (винарници)', 'винарски визби']"
Кокино вино,"Адреса: Козјачка, с.Доброшане 15",Куманово,Работно време: Пон - Пет од 08:00 до 14:00,"['вина - производство', 'винарски визби', 'хотели']"
Коцев Фемили Вајн,Адреса: с.Оморани,Велес,N/A,"['винарски визби', 'вина - производство']"
Кралска Винарија-Кралица Марија,Адреса: Маршал Тито 63,Капија,N/A,"['винотеки (винарници)', 'винарски визби', 'ресторани', 'апартмани и приватни соби - изнајмување', 'вина - производство']"
Кувин,Адреса: Македонска Преродба 70,Скопје,Работно време: Пон - Нед од 08:00 до 00:00,"['винотеки (винарници)', 'винарски визби']"
Лазар,Адреса: Автопат Велес-Гевгелија,Велес,N/A,"['винотеки (винарници)', 'винарски визби', 'ресторани', 'апартмани и приватни соби - изнајмување']"
Лазар Винарија,Адреса: Археолошки Локалитет Стоби Градско,Велес,N/A,"['винарски визби', 'вина - производство', 'вина - трговија', 'апартмани и приватни соби - изнајмување', 'ресторани']"
Максимилијан,Адреса: с.Пепелиште,Неготино,N/A,"['вина - производство', 'винарски визби', 'вина - трговија']"
ММ Инвестмент - Лозар,Адреса: Академик Пенчо Давчев (Скопски Пат) 130,Велес,Работно време: Пон - Пет од 07:00 до 15:00,['винарски визби']
Олд Скул Винери,Адреса: Велешко езеро,Велес,N/A,"['вина - производство', 'винарски визби']"
Парагон урбан вајнери,Адреса: Борис Трајковски (Првомајска) 62,Скопје,N/A,"['вина - производство', 'винотеки (винарници)', 'винарски визби']"
Паруни,Адреса: с.Копанце,Тетово,N/A,['винарски визби']
Пеца Комерц,Адреса: Западен булевар 13,Кавадарци,Работно време: Пон - Пет од 08:00 до 16:00,"['транспорт - меѓународен', 'земјоделски производи - трговија', 'вина - производство', 'винарски визби']"
Пешков,Адреса: с.Ресава,Кавадарци,N/A,['винарски визби']
Пивка,Адреса: Индустриска б.б.,Неготино,Работно време: Пон - Пет од 07:00 до 15:00,"['вина - трговија', 'винарски визби']"
Пирган,Адреса: Орде Чопела 173,Прилеп,Работно време: Пон - Пет од 08:00 до 16:00 • Саб од 08:00 до 15:00,"['винарски визби', 'пијалаци - алкохолни - производство', 'вина - производство']"
Попова кула,Адреса: Даме Груев 5-7/1,Скопје,Работно време: Пон - Пет од 08:00 до 16:00,"['винарски визби', 'вина - трговија', 'вина - производство']"
Риго импекс,"Адреса: Гоце Делчев, с.Мрзенци б.б.",Гевгелија,Работно време: Пон - Нед од 00:00 до 00:00,"['винарски визби', 'вина - производство']"
Риго-импекс,Адреса: Наум Наумовски Борче 40,Скопје,Работно време: Пон - Пет од 08:00 до 16:00,"['вина - производство', 'винарски визби', 'вина - трговија', '200 најуспешни']"
Сарика,Адреса: Мирче Ацев 128,Прилеп,N/A,"['вина - производство', 'вина - трговија', 'винарски визби']"
